Algorithms,Algorithm_ID,DPA_METHODS,FEE_METHODS,FES_METHODS,CLF_METHODS,END_METHODS,END_TO_END_METHODS,DPA_METHODS_ID,FEE_METHODS_ID,FES_METHODS_ID,CLF_METHODS_ID,END_METHODS_ID,END_TO_END_METHODS_ID
TLDummy-CSP-SVM,"[0, 1, 0, 1, 0, 0]",TLDummy,CSP,,SVM,,,0,1,0,1,0,0
TLDummy-CSP-LDA,"[0, 1, 0, 2, 0, 0]",TLDummy,CSP,,LDA,,,0,1,0,2,0,0
TLDummy-CSP-LR,"[0, 1, 0, 3, 0, 0]",TLDummy,CSP,,LR,,,0,1,0,3,0,0
TLDummy-CSP-MLP,"[0, 1, 0, 11, 0, 0]",TLDummy,CSP,,MLP,,,0,1,0,11,0,0
TLDummy-CSP-MIC-P-SVM,"[0, 1, 4, 1, 0, 0]",TLDummy,CSP,MIC-P,SVM,,,0,1,4,1,0,0
TLDummy-CSP-MIC-P-LDA,"[0, 1, 4, 2, 0, 0]",TLDummy,CSP,MIC-P,LDA,,,0,1,4,2,0,0
TLDummy-CSP-MIC-P-LR,"[0, 1, 4, 3, 0, 0]",TLDummy,CSP,MIC-P,LR,,,0,1,4,3,0,0
TLDummy-CSP-MIC-P-MLP,"[0, 1, 4, 11, 0, 0]",TLDummy,CSP,MIC-P,MLP,,,0,1,4,11,0,0
TLDummy-CSP-LASSO-SVM,"[0, 1, 6, 1, 0, 0]",TLDummy,CSP,LASSO,SVM,,,0,1,6,1,0,0
TLDummy-CSP-LASSO-LDA,"[0, 1, 6, 2, 0, 0]",TLDummy,CSP,LASSO,LDA,,,0,1,6,2,0,0
TLDummy-CSP-LASSO-LR,"[0, 1, 6, 3, 0, 0]",TLDummy,CSP,LASSO,LR,,,0,1,6,3,0,0
TLDummy-CSP-LASSO-MLP,"[0, 1, 6, 11, 0, 0]",TLDummy,CSP,LASSO,MLP,,,0,1,6,11,0,0
TLDummy-CSP-RFECV-SVM,"[0, 1, 8, 1, 0, 0]",TLDummy,CSP,RFECV,SVM,,,0,1,8,1,0,0
TLDummy-CSP-RFECV-LDA,"[0, 1, 8, 2, 0, 0]",TLDummy,CSP,RFECV,LDA,,,0,1,8,2,0,0
TLDummy-CSP-RFECV-LR,"[0, 1, 8, 3, 0, 0]",TLDummy,CSP,RFECV,LR,,,0,1,8,3,0,0
TLDummy-CSP-RFECV-MLP,"[0, 1, 8, 11, 0, 0]",TLDummy,CSP,RFECV,MLP,,,0,1,8,11,0,0
TLDummy-TS-SVM,"[0, 5, 0, 1, 0, 0]",TLDummy,TS,,SVM,,,0,5,0,1,0,0
TLDummy-TS-LDA,"[0, 5, 0, 2, 0, 0]",TLDummy,TS,,LDA,,,0,5,0,2,0,0
TLDummy-TS-LR,"[0, 5, 0, 3, 0, 0]",TLDummy,TS,,LR,,,0,5,0,3,0,0
TLDummy-TS-MLP,"[0, 5, 0, 11, 0, 0]",TLDummy,TS,,MLP,,,0,5,0,11,0,0
TLDummy-TS-MIC-P-SVM,"[0, 5, 4, 1, 0, 0]",TLDummy,TS,MIC-P,SVM,,,0,5,4,1,0,0
TLDummy-TS-MIC-P-LDA,"[0, 5, 4, 2, 0, 0]",TLDummy,TS,MIC-P,LDA,,,0,5,4,2,0,0
TLDummy-TS-MIC-P-LR,"[0, 5, 4, 3, 0, 0]",TLDummy,TS,MIC-P,LR,,,0,5,4,3,0,0
TLDummy-TS-MIC-P-MLP,"[0, 5, 4, 11, 0, 0]",TLDummy,TS,MIC-P,MLP,,,0,5,4,11,0,0
TLDummy-TS-LASSO-SVM,"[0, 5, 6, 1, 0, 0]",TLDummy,TS,LASSO,SVM,,,0,5,6,1,0,0
TLDummy-TS-LASSO-LDA,"[0, 5, 6, 2, 0, 0]",TLDummy,TS,LASSO,LDA,,,0,5,6,2,0,0
TLDummy-TS-LASSO-LR,"[0, 5, 6, 3, 0, 0]",TLDummy,TS,LASSO,LR,,,0,5,6,3,0,0
TLDummy-TS-LASSO-MLP,"[0, 5, 6, 11, 0, 0]",TLDummy,TS,LASSO,MLP,,,0,5,6,11,0,0
TLDummy-TS-RFECV-SVM,"[0, 5, 8, 1, 0, 0]",TLDummy,TS,RFECV,SVM,,,0,5,8,1,0,0
TLDummy-TS-RFECV-LDA,"[0, 5, 8, 2, 0, 0]",TLDummy,TS,RFECV,LDA,,,0,5,8,2,0,0
TLDummy-TS-RFECV-LR,"[0, 5, 8, 3, 0, 0]",TLDummy,TS,RFECV,LR,,,0,5,8,3,0,0
TLDummy-TS-RFECV-MLP,"[0, 5, 8, 11, 0, 0]",TLDummy,TS,RFECV,MLP,,,0,5,8,11,0,0
EA-CSP-SVM,"[1, 1, 0, 1, 0, 0]",EA,CSP,,SVM,,,1,1,0,1,0,0
EA-CSP-LDA,"[1, 1, 0, 2, 0, 0]",EA,CSP,,LDA,,,1,1,0,2,0,0
EA-CSP-LR,"[1, 1, 0, 3, 0, 0]",EA,CSP,,LR,,,1,1,0,3,0,0
EA-CSP-MLP,"[1, 1, 0, 11, 0, 0]",EA,CSP,,MLP,,,1,1,0,11,0,0
EA-CSP-MIC-P-SVM,"[1, 1, 4, 1, 0, 0]",EA,CSP,MIC-P,SVM,,,1,1,4,1,0,0
EA-CSP-MIC-P-LDA,"[1, 1, 4, 2, 0, 0]",EA,CSP,MIC-P,LDA,,,1,1,4,2,0,0
EA-CSP-MIC-P-LR,"[1, 1, 4, 3, 0, 0]",EA,CSP,MIC-P,LR,,,1,1,4,3,0,0
EA-CSP-MIC-P-MLP,"[1, 1, 4, 11, 0, 0]",EA,CSP,MIC-P,MLP,,,1,1,4,11,0,0
EA-CSP-LASSO-SVM,"[1, 1, 6, 1, 0, 0]",EA,CSP,LASSO,SVM,,,1,1,6,1,0,0
EA-CSP-LASSO-LDA,"[1, 1, 6, 2, 0, 0]",EA,CSP,LASSO,LDA,,,1,1,6,2,0,0
EA-CSP-LASSO-LR,"[1, 1, 6, 3, 0, 0]",EA,CSP,LASSO,LR,,,1,1,6,3,0,0
EA-CSP-LASSO-MLP,"[1, 1, 6, 11, 0, 0]",EA,CSP,LASSO,MLP,,,1,1,6,11,0,0
EA-CSP-RFECV-SVM,"[1, 1, 8, 1, 0, 0]",EA,CSP,RFECV,SVM,,,1,1,8,1,0,0
EA-CSP-RFECV-LDA,"[1, 1, 8, 2, 0, 0]",EA,CSP,RFECV,LDA,,,1,1,8,2,0,0
EA-CSP-RFECV-LR,"[1, 1, 8, 3, 0, 0]",EA,CSP,RFECV,LR,,,1,1,8,3,0,0
EA-CSP-RFECV-MLP,"[1, 1, 8, 11, 0, 0]",EA,CSP,RFECV,MLP,,,1,1,8,11,0,0
EA-TS-SVM,"[1, 5, 0, 1, 0, 0]",EA,TS,,SVM,,,1,5,0,1,0,0
EA-TS-LDA,"[1, 5, 0, 2, 0, 0]",EA,TS,,LDA,,,1,5,0,2,0,0
EA-TS-LR,"[1, 5, 0, 3, 0, 0]",EA,TS,,LR,,,1,5,0,3,0,0
EA-TS-MLP,"[1, 5, 0, 11, 0, 0]",EA,TS,,MLP,,,1,5,0,11,0,0
EA-TS-MIC-P-SVM,"[1, 5, 4, 1, 0, 0]",EA,TS,MIC-P,SVM,,,1,5,4,1,0,0
EA-TS-MIC-P-LDA,"[1, 5, 4, 2, 0, 0]",EA,TS,MIC-P,LDA,,,1,5,4,2,0,0
EA-TS-MIC-P-LR,"[1, 5, 4, 3, 0, 0]",EA,TS,MIC-P,LR,,,1,5,4,3,0,0
EA-TS-MIC-P-MLP,"[1, 5, 4, 11, 0, 0]",EA,TS,MIC-P,MLP,,,1,5,4,11,0,0
EA-TS-LASSO-SVM,"[1, 5, 6, 1, 0, 0]",EA,TS,LASSO,SVM,,,1,5,6,1,0,0
EA-TS-LASSO-LDA,"[1, 5, 6, 2, 0, 0]",EA,TS,LASSO,LDA,,,1,5,6,2,0,0
EA-TS-LASSO-LR,"[1, 5, 6, 3, 0, 0]",EA,TS,LASSO,LR,,,1,5,6,3,0,0
EA-TS-LASSO-MLP,"[1, 5, 6, 11, 0, 0]",EA,TS,LASSO,MLP,,,1,5,6,11,0,0
EA-TS-RFECV-SVM,"[1, 5, 8, 1, 0, 0]",EA,TS,RFECV,SVM,,,1,5,8,1,0,0
EA-TS-RFECV-LDA,"[1, 5, 8, 2, 0, 0]",EA,TS,RFECV,LDA,,,1,5,8,2,0,0
EA-TS-RFECV-LR,"[1, 5, 8, 3, 0, 0]",EA,TS,RFECV,LR,,,1,5,8,3,0,0
EA-TS-RFECV-MLP,"[1, 5, 8, 11, 0, 0]",EA,TS,RFECV,MLP,,,1,5,8,11,0,0
RA-CSP-SVM,"[2, 1, 0, 1, 0, 0]",RA,CSP,,SVM,,,2,1,0,1,0,0
RA-CSP-LDA,"[2, 1, 0, 2, 0, 0]",RA,CSP,,LDA,,,2,1,0,2,0,0
RA-CSP-LR,"[2, 1, 0, 3, 0, 0]",RA,CSP,,LR,,,2,1,0,3,0,0
RA-CSP-MLP,"[2, 1, 0, 11, 0, 0]",RA,CSP,,MLP,,,2,1,0,11,0,0
RA-CSP-MIC-P-SVM,"[2, 1, 4, 1, 0, 0]",RA,CSP,MIC-P,SVM,,,2,1,4,1,0,0
RA-CSP-MIC-P-LDA,"[2, 1, 4, 2, 0, 0]",RA,CSP,MIC-P,LDA,,,2,1,4,2,0,0
RA-CSP-MIC-P-LR,"[2, 1, 4, 3, 0, 0]",RA,CSP,MIC-P,LR,,,2,1,4,3,0,0
RA-CSP-MIC-P-MLP,"[2, 1, 4, 11, 0, 0]",RA,CSP,MIC-P,MLP,,,2,1,4,11,0,0
RA-CSP-LASSO-SVM,"[2, 1, 6, 1, 0, 0]",RA,CSP,LASSO,SVM,,,2,1,6,1,0,0
RA-CSP-LASSO-LDA,"[2, 1, 6, 2, 0, 0]",RA,CSP,LASSO,LDA,,,2,1,6,2,0,0
RA-CSP-LASSO-LR,"[2, 1, 6, 3, 0, 0]",RA,CSP,LASSO,LR,,,2,1,6,3,0,0
RA-CSP-LASSO-MLP,"[2, 1, 6, 11, 0, 0]",RA,CSP,LASSO,MLP,,,2,1,6,11,0,0
RA-CSP-RFECV-SVM,"[2, 1, 8, 1, 0, 0]",RA,CSP,RFECV,SVM,,,2,1,8,1,0,0
RA-CSP-RFECV-LDA,"[2, 1, 8, 2, 0, 0]",RA,CSP,RFECV,LDA,,,2,1,8,2,0,0
RA-CSP-RFECV-LR,"[2, 1, 8, 3, 0, 0]",RA,CSP,RFECV,LR,,,2,1,8,3,0,0
RA-CSP-RFECV-MLP,"[2, 1, 8, 11, 0, 0]",RA,CSP,RFECV,MLP,,,2,1,8,11,0,0
RA-TS-SVM,"[2, 5, 0, 1, 0, 0]",RA,TS,,SVM,,,2,5,0,1,0,0
RA-TS-LDA,"[2, 5, 0, 2, 0, 0]",RA,TS,,LDA,,,2,5,0,2,0,0
RA-TS-LR,"[2, 5, 0, 3, 0, 0]",RA,TS,,LR,,,2,5,0,3,0,0
RA-TS-MLP,"[2, 5, 0, 11, 0, 0]",RA,TS,,MLP,,,2,5,0,11,0,0
RA-TS-MIC-P-SVM,"[2, 5, 4, 1, 0, 0]",RA,TS,MIC-P,SVM,,,2,5,4,1,0,0
RA-TS-MIC-P-LDA,"[2, 5, 4, 2, 0, 0]",RA,TS,MIC-P,LDA,,,2,5,4,2,0,0
RA-TS-MIC-P-LR,"[2, 5, 4, 3, 0, 0]",RA,TS,MIC-P,LR,,,2,5,4,3,0,0
RA-TS-MIC-P-MLP,"[2, 5, 4, 11, 0, 0]",RA,TS,MIC-P,MLP,,,2,5,4,11,0,0
RA-TS-LASSO-SVM,"[2, 5, 6, 1, 0, 0]",RA,TS,LASSO,SVM,,,2,5,6,1,0,0
RA-TS-LASSO-LDA,"[2, 5, 6, 2, 0, 0]",RA,TS,LASSO,LDA,,,2,5,6,2,0,0
RA-TS-LASSO-LR,"[2, 5, 6, 3, 0, 0]",RA,TS,LASSO,LR,,,2,5,6,3,0,0
RA-TS-LASSO-MLP,"[2, 5, 6, 11, 0, 0]",RA,TS,LASSO,MLP,,,2,5,6,11,0,0
RA-TS-RFECV-SVM,"[2, 5, 8, 1, 0, 0]",RA,TS,RFECV,SVM,,,2,5,8,1,0,0
RA-TS-RFECV-LDA,"[2, 5, 8, 2, 0, 0]",RA,TS,RFECV,LDA,,,2,5,8,2,0,0
RA-TS-RFECV-LR,"[2, 5, 8, 3, 0, 0]",RA,TS,RFECV,LR,,,2,5,8,3,0,0
