Algorithms,Algorithm_ID,DPA_METHODS,FEE_METHODS,FES_METHODS,CLF_METHODS,END_METHODS,END_TO_END_METHODS,DPA_METHODS_ID,FEE_METHODS_ID,FES_METHODS_ID,CLF_METHODS_ID,END_METHODS_ID,END_TO_END_METHODS_ID,train_score,test_score,trainacc_0,testacc_0,traintime_0,testtime_0,trainacc_1,testacc_1,traintime_1,testtime_1,trainacc_2,testacc_2,traintime_2,testtime_2,trainacc_3,testacc_3,traintime_3,testtime_3,trainacc_4,testacc_4,traintime_4,testtime_4,trainacc_5,testacc_5,traintime_5,testtime_5,mean_trainacc,mean_testacc,mean_traintime,mean_testtime
TLDUMMY-SBLEST,"[0, 0, 0, 0, 0, 3]",TLDUMMY,,,,,SBLEST,0,0,0,0,0,3,0.998666667,0.533333333,1,0.933333333,132.9321241,0.492348909,0.996,0.543333333,67.32328699,0.502758503,1,0.702222222,62.67123873,0.517570472,1,0.717777778,84.95831468,0.458836508,1,0.693333333,62.88812525,0.484981108,0.998666667,0.533333333,56.60953455,0.518649054,0.999111111,0.687222222,77.89710404,0.495857426
EA-TS-LR,"[1, 5, 0, 3, 0, 0]",EA,TS,,LR,,,1,5,0,3,0,0,0.788666667,0.683333333,0.811333333,0.586666667,0.247110009,0.211389995,0.978,0.754444444,0.251639605,0.205744457,0.934,0.652222222,0.243550634,0.204614258,0.932,0.716666667,0.23175683,0.202645826,0.602,0.642222222,0.23036027,0.198344851,0.788666667,0.683333333,0.252050257,0.206564283,0.841,0.672592593,0.242744601,0.204883945
RA-TS-LR,"[2, 5, 0, 3, 0, 0]",RA,TS,,LR,,,2,5,0,3,0,0,0.780666667,0.702222222,0.826666667,0.56,0.240275598,0.203389478,0.974,0.756666667,0.240011096,0.207259703,0.936666667,0.651111111,0.251662588,0.207321692,0.946,0.712222222,0.24654026,0.20967226,0.600666667,0.641111111,0.239483809,0.199300027,0.780666667,0.702222222,0.244279575,0.181503844,0.844111111,0.670555556,0.243708821,0.201407834
TLDUMMY-TS-LR,"[0, 5, 0, 3, 0, 0]",TLDUMMY,TS,,LR,,,0,5,0,3,0,0,0.966,0.692222222,0.983333333,0.566666667,0.251685286,0.204575276,0.999333333,0.758888889,0.246849799,0.206883216,0.992666667,0.653333333,0.238488674,0.20225513,0.993333333,0.708888889,0.235265875,0.229246879,0.998666667,0.632222222,0.232913327,0.204666257,0.966,0.692222222,0.25066061,0.210748577,0.988888889,0.668703704,0.242643929,0.209729222
TLDUMMY-TS-PCA-LDA,"[0, 5, 5, 2, 0, 0]",TLDUMMY,TS,PCA,LDA,,,0,5,5,2,0,0,0.781333333,0.667777778,0.837333333,0.546666667,0.242921209,0.203309584,0.950666667,0.726666667,0.25631268,0.193926311,0.956666667,0.713333333,0.246026587,0.208579731,0.908666667,0.7,0.241138268,0.204639125,0.858666667,0.654444444,0.241194844,0.213875246,0.781333333,0.667777778,0.277949023,0.217046046,0.882222222,0.668148148,0.250923769,0.206896007
EA-SBLEST,"[1, 0, 0, 0, 0, 3]",EA,,,,,SBLEST,1,0,0,0,0,3,0.909333333,0.51,0.986,0.918888889,132.235746,0.609935331,0.792,0.523333333,63.88802805,0.567726374,0.982666667,0.685555556,62.63143389,0.587496328,0.954,0.694444444,101.5965434,0.518454242,0.997333333,0.673333333,62.66607616,0.556355047,0.909333333,0.51,58.16082811,0.596789265,0.936888889,0.667592593,80.1964426,0.572792765
RA-ABC-FGMDM,"[2, 0, 0, 0, 4, 0]",RA,,,,ABC-FGMDM,,2,0,0,0,4,0,0.619333333,0.618888889,0.915333333,0.551111111,2.634648585,0.383659792,0.988,0.755555556,2.001777935,0.264554191,0.843333333,0.672222222,0.784826398,0.199564552,0.977333333,0.703333333,0.68592093,0.208194971,0.977333333,0.703333333,0.68592093,0.208194971,0.619333333,0.618888889,2.191767645,0.274926877,0.886777778,0.667407407,1.49747707,0.256515892
EA-TS-MLP,"[1, 5, 0, 11, 0, 0]",EA,TS,,MLP,,,1,5,0,11,0,0,0.921333333,0.657777778,0.83,0.576666667,0.989960599,0.231720734,0.998666667,0.758888889,0.90439322,0.217362118,0.934666667,0.658888889,0.930721784,0.209707904,0.968666667,0.695555556,0.973643804,0.21536572,0.602,0.652222222,0.903340793,0.211446929,0.921333333,0.657777778,1.029641414,0.226620674,0.875888889,0.666666667,0.955283602,0.218704013
RA-FGMDM-ETC,"[2, 4, 0, 7, 0, 0]",RA,FGMDM,,ETC,,,2,4,0,7,0,0,0.758,0.661111111,0.914,0.57,0.360888696,0.26537447,0.986666667,0.761111111,0.348646641,0.253893542,0.866,0.668888889,0.342753148,0.242136788,0.982666667,0.698888889,0.329451323,0.26146462,0.609333333,0.633333333,0.314273167,0.25031333,0.758,0.661111111,0.339402914,0.233289599,0.852777778,0.665555556,0.339235981,0.251078725
RA-SBLEST,"[2, 0, 0, 0, 0, 3]",RA,,,,,SBLEST,2,0,0,0,0,3,0.928,0.507777778,0.998,0.921111111,132.4440851,0.604856849,0.912,0.522222222,62.79715576,0.571678257,0.992666667,0.681111111,61.68232749,0.583720016,0.972,0.69,102.8100895,0.535664964,0.996666667,0.667777778,62.69147575,0.552181268,0.928,0.507777778,57.82463291,0.613314724,0.966555556,0.665,80.04162774,0.57690268
RA-TS-MLP,"[2, 5, 0, 11, 0, 0]",RA,TS,,MLP,,,2,5,0,11,0,0,0.925333333,0.661111111,0.87,0.576666667,1.009932089,0.222137022,1,0.743333333,0.912705541,0.22983253,0.920666667,0.667777778,0.912377119,0.226482677,0.972666667,0.691111111,0.971096516,0.223983955,0.601333333,0.647777778,0.895628357,0.21067028,0.925333333,0.661111111,0.993605852,0.207838917,0.881666667,0.66462963,0.949224246,0.220157564
TLDUMMY-TS-PCA-LR,"[0, 5, 5, 3, 0, 0]",TLDUMMY,TS,PCA,LR,,,0,5,5,3,0,0,0.783333333,0.657777778,0.838,0.548888889,0.248061681,0.204140329,0.954,0.744444444,0.253013444,0.195468593,0.961333333,0.677777778,0.241664386,0.202984309,0.914666667,0.69,0.246991825,0.204435325,0.858,0.667777778,0.232549238,0.210736108,0.783333333,0.657777778,0.261223388,0.22103622,0.884888889,0.664444444,0.24725066,0.206466814
